structure_index,formula,total_atoms,distinct_elements,elements,count_Cr,fraction_Cr,count_W,fraction_W,count_Y,fraction_Y,count_Zr,fraction_Zr
1069,Cr62Zr64,126,2,"Cr,Zr",62,0.492063492063,0,0.000000000000,0,0.000000000000,64,0.507936507937
1070,Cr47Zr78,125,2,"Cr,Zr",47,0.376000000000,0,0.000000000000,0,0.000000000000,78,0.624000000000
1071,Cr47Zr78,125,2,"Cr,Zr",47,0.376000000000,0,0.000000000000,0,0.000000000000,78,0.624000000000
1072,Cr47Zr78,125,2,"Cr,Zr",47,0.376000000000,0,0.000000000000,0,0.000000000000,78,0.624000000000
1073,Cr48Zr80,128,2,"Cr,Zr",48,0.375000000000,0,0.000000000000,0,0.000000000000,80,0.625000000000
1074,Cr47Zr78,125,2,"Cr,Zr",47,0.376000000000,0,0.000000000000,0,0.000000000000,78,0.624000000000
1075,Cr47Zr78,125,2,"Cr,Zr",47,0.376000000000,0,0.000000000000,0,0.000000000000,78,0.624000000000
1076,Cr48W2Zr78,128,3,"Cr,W,Zr",48,0.375000000000,2,0.015625000000,0,0.000000000000,78,0.609375000000
1077,Cr63Zr62,125,2,"Cr,Zr",63,0.504000000000,0,0.000000000000,0,0.000000000000,62,0.496000000000
1078,Cr62Zr63,125,2,"Cr,Zr",62,0.496000000000,0,0.000000000000,0,0.000000000000,63,0.504000000000
1079,Cr47Zr78,125,2,"Cr,Zr",47,0.376000000000,0,0.000000000000,0,0.000000000000,78,0.624000000000
1080,Cr41Zr72,113,2,"Cr,Zr",41,0.362831858407,0,0.000000000000,0,0.000000000000,72,0.637168141593
1081,Cr47WZr78,126,3,"Cr,W,Zr",47,0.373015873016,1,0.007936507937,0,0.000000000000,78,0.619047619048
1082,Cr47Zr78,125,2,"Cr,Zr",47,0.376000000000,0,0.000000000000,0,0.000000000000,78,0.624000000000
1083,Cr31YZr95,127,3,"Cr,Y,Zr",31,0.244094488189,0,0.000000000000,1,0.007874015748,95,0.748031496063
1084,Cr48Zr78,126,2,"Cr,Zr",48,0.380952380952,0,0.000000000000,0,0.000000000000,78,0.619047619048
1085,Cr63Zr62,125,2,"Cr,Zr",63,0.504000000000,0,0.000000000000,0,0.000000000000,62,0.496000000000
1086,Cr59Zr54,113,2,"Cr,Zr",59,0.522123893805,0,0.000000000000,0,0.000000000000,54,0.477876106195
1087,Cr63Zr62,125,2,"Cr,Zr",63,0.504000000000,0,0.000000000000,0,0.000000000000,62,0.496000000000
1088,Cr16Zr109,125,2,"Cr,Zr",16,0.128000000000,0,0.000000000000,0,0.000000000000,109,0.872000000000
1089,Cr16Zr109,125,2,"Cr,Zr",16,0.128000000000,0,0.000000000000,0,0.000000000000,109,0.872000000000
1090,Cr31Zr94,125,2,"Cr,Zr",31,0.248000000000,0,0.000000000000,0,0.000000000000,94,0.752000000000
1091,Cr31Zr94,125,2,"Cr,Zr",31,0.248000000000,0,0.000000000000,0,0.000000000000,94,0.752000000000
1092,Cr62Zr63,125,2,"Cr,Zr",62,0.496000000000,0,0.000000000000,0,0.000000000000,63,0.504000000000
1093,Cr62Zr63,125,2,"Cr,Zr",62,0.496000000000,0,0.000000000000,0,0.000000000000,63,0.504000000000
1094,Cr62Zr63,125,2,"Cr,Zr",62,0.496000000000,0,0.000000000000,0,0.000000000000,63,0.504000000000
1095,Cr62Zr63,125,2,"Cr,Zr",62,0.496000000000,0,0.000000000000,0,0.000000000000,63,0.504000000000
1096,Cr62Zr63,125,2,"Cr,Zr",62,0.496000000000,0,0.000000000000,0,0.000000000000,63,0.504000000000
1097,Cr57Zr58,115,2,"Cr,Zr",57,0.495652173913,0,0.000000000000,0,0.000000000000,58,0.504347826087
1098,Cr62Zr63,125,2,"Cr,Zr",62,0.496000000000,0,0.000000000000,0,0.000000000000,63,0.504000000000
1099,Cr47WZr78,126,3,"Cr,W,Zr",47,0.373015873016,1,0.007936507937,0,0.000000000000,78,0.619047619048
